# @author MoShangHuaKai
# KX楼宇名称,KX房间号,ZT楼宇名称,ZT房间号
中天光纤1号楼,1西03,光纤宿舍1号楼,西103
中天光纤1号楼,1东04,光纤宿舍1号楼,东104
中天光纤1号楼,1西04,光纤宿舍1号楼,西104
中天光纤1号楼,1东05,光纤宿舍1号楼,东105
中天光纤1号楼,1西05,光纤宿舍1号楼,西105
中天光纤1号楼,1东06,光纤宿舍1号楼,东106
中天光纤1号楼,1西06,光纤宿舍1号楼,西106
中天光纤1号楼,1201,光纤宿舍1号楼,1201
中天光纤1号楼,1202,光纤宿舍1号楼,1202
中天光纤1号楼,1203,光纤宿舍1号楼,1203
中天光纤1号楼,1204,光纤宿舍1号楼,1204
中天光纤1号楼,1205,光纤宿舍1号楼,1205
中天光纤1号楼,1206,光纤宿舍1号楼,1206
中天光纤1号楼,1207,光纤宿舍1号楼,1207
中天光纤1号楼,1208,光纤宿舍1号楼,1208
中天光纤1号楼,1209,光纤宿舍1号楼,1209
中天光纤1号楼,1210,光纤宿舍1号楼,1210
中天光纤1号楼,1211,光纤宿舍1号楼,1211
中天光纤1号楼,1301,光纤宿舍1号楼,1301
中天光纤1号楼,1302,光纤宿舍1号楼,1302
中天光纤1号楼,1303,光纤宿舍1号楼,1303
中天光纤1号楼,1304,光纤宿舍1号楼,1304
中天光纤1号楼,1305,光纤宿舍1号楼,1305
中天光纤1号楼,1306,光纤宿舍1号楼,1306
中天光纤1号楼,1307,光纤宿舍1号楼,1307
中天光纤1号楼,1308,光纤宿舍1号楼,1308
中天光纤1号楼,1309,光纤宿舍1号楼,1309
中天光纤1号楼,1310,光纤宿舍1号楼,1310
中天光纤1号楼,1311,光纤宿舍1号楼,1311
中天光纤1号楼,1312,光纤宿舍1号楼,1312
中天光纤1号楼,1401,光纤宿舍1号楼,1401
中天光纤1号楼,1402,光纤宿舍1号楼,1402
中天光纤1号楼,1403,光纤宿舍1号楼,1403
中天光纤1号楼,1404,光纤宿舍1号楼,1404
中天光纤1号楼,1405,光纤宿舍1号楼,1405
中天光纤1号楼,1406,光纤宿舍1号楼,1406
中天光纤1号楼,1407,光纤宿舍1号楼,1407
中天光纤1号楼,1408,光纤宿舍1号楼,1408
中天光纤1号楼,1409,光纤宿舍1号楼,1409
中天光纤1号楼,1410,光纤宿舍1号楼,1410
中天光纤1号楼,1411,光纤宿舍1号楼,1411
中天光纤1号楼,1412,光纤宿舍1号楼,1412
中天光纤1号楼,1501,光纤宿舍1号楼,1501
中天光纤1号楼,1502,光纤宿舍1号楼,1502
中天光纤1号楼,1503,光纤宿舍1号楼,1503
中天光纤1号楼,1504,光纤宿舍1号楼,1504
中天光纤1号楼,1505,光纤宿舍1号楼,1505
中天光纤1号楼,1506,光纤宿舍1号楼,1506
中天光纤1号楼,1507,光纤宿舍1号楼,1507
中天光纤1号楼,1508,光纤宿舍1号楼,1508
中天光纤1号楼,1509,光纤宿舍1号楼,1509
中天光纤1号楼,1510,光纤宿舍1号楼,1510
中天光纤1号楼,1511,光纤宿舍1号楼,1511
中天光纤1号楼,1512,光纤宿舍1号楼,1512
中天光纤1号楼,1601,光纤宿舍1号楼,1601
中天光纤1号楼,1602,光纤宿舍1号楼,1602
中天光纤1号楼,1603,光纤宿舍1号楼,1603
中天光纤1号楼,1604,光纤宿舍1号楼,1604
中天光纤1号楼,1605,光纤宿舍1号楼,1605
中天光纤1号楼,1606,光纤宿舍1号楼,1606
中天光纤1号楼,1607,光纤宿舍1号楼,1607
中天光纤1号楼,1608,光纤宿舍1号楼,1608
中天光纤1号楼,1609,光纤宿舍1号楼,1609
中天光纤1号楼,1610,光纤宿舍1号楼,1610
中天光纤1号楼,1611,光纤宿舍1号楼,1611
